Sample,Dil,abs_595,conc_ug_ml,conc_mg_ml
P462,10,0.589,5136.315310163602,5.136315310163602
P462,10,0.635,6124.901635785682,6.124901635785681
P462,10,0.646,6372.185793616222,6.3721857936162225
P489,20,0.592,10397.098457646835,10.397098457646834
P489,20,0.63,12027.77667321553,12.02777667321553
P489,20,0.689,14758.291786658192,14.758291786658193
P490,10,0.366,1385.038144401769,1.385038144401769
P490,10,0.371,1450.2279489927723,1.4502279489927723
P490,10,0.368,1411.009921932291,1.4110099219322911
P491,10,0.606,5493.105240035777,5.493105240035777
P491,10,0.612,5621.426416672946,5.621426416672946
P491,10,0.614,5664.4778603676805,5.664477860367681
P492,10,0.435,2361.307656884814,2.361307656884814
P492,10,0.451,2611.295035778752,2.611295035778752
P492,10,0.452,2627.214322492948,2.6272143224929483
P493,10,0.52,3791.166666255917,3.7911666662559167
P493,10,0.529,3957.2478496712565,3.9572478496712566
P493,10,0.532,4013.233109978313,4.013233109978313
P494,10,0.543,4221.185434955088,4.221185434955087
P494,10,0.619,5772.713978055479,5.772713978055479
P494,10,0.66,6692.986169910175,6.692986169910175
P496,10,0.529,3957.2478496712565,3.9572478496712566
P496,10,0.536,4088.3661304818247,4.088366130481825
P496,10,0.534,4050.7301906928155,4.050730190692816
P497,10,0.367,1398.006675782717,1.398006675782717
P497,10,0.362,1333.5111665642423,1.3335111665642423
P497,10,0.392,1733.5022601100081,1.733502260110008
P498,10,0.708,7844.528750062741,7.844528750062741
P498,10,0.717,8069.34732199403,8.06934732199403
P498,10,0.697,7573.569120028962,7.573569120028962
P499,30,0.722,24586.384636573355,24.586384636573356
P499,30,0.713,23907.242427014917,23.907242427014918
P499,30,0.764,27867.25349944286,27.86725349944286
P500,10,0.357,1269.8835265614287,1.2698835265614286
P500,10,0.362,1333.5111665642423,1.3335111665642423
P500,10,0.359,1295.2304382566751,1.295230438256675
P501,10,0.396,1789.195010182708,1.789195010182708
P501,10,0.399,1831.3290778078108,1.8313290778078108
P501,10,0.41,1988.4936962840914,1.9884936962840913
P502,10,0.654,6554.66713990859,6.55466713990859
P502,10,0.682,7210.848095319605,7.210848095319605
P502,10,0.696,7549.144715001286,7.549144715001287
P503,20,0.622,11676.144451783352,11.676144451783351
P503,20,0.67,13852.590136139206,13.852590136139206
P503,20,0.676,14135.893431718654,14.135893431718655
P504,10,0.493,3309.7944935623514,3.3097944935623516
P504,10,0.489,3240.6324132625887,3.2406324132625888
P504,10,0.487,3206.2596617244662,3.206259661724466
