well,mean_slope,col,row_name,row
A1,2.9612995699952216,1,A,1
A2,0.3379837553750592,2,A,1
A3,1.0027711419015732,3,A,1
A4,-0.04099378881988021,4,A,1
A5,0.4589584328714743,5,A,1
A6,0.3675107501194437,6,A,1
A7,0.08657429526994594,7,A,1
A8,0.7651218346870493,8,A,1
A9,0.3010033444816048,9,A,1
A10,0.2984233158146174,10,A,1
A11,0.057907310081222525,11,A,1
A12,2.830578117534637,12,A,1
B1,0.20926899187768405,1,B,2
B2,0.1092212135690388,2,B,2
B3,0.2608695652173896,3,B,2
B4,0.309316770186334,4,B,2
B5,1.0778786430960299,5,B,2
B6,0.10176779741996807,6,B,2
B7,1.5755375059722867,7,B,2
B8,0.21614906832298142,8,B,2
B9,0.7588150979455313,9,B,2
B10,0.16225513616817955,10,B,2
B11,0.14534161490683217,11,B,2
B12,0.47615862398470826,12,B,2
C1,0.5759197324414699,1,C,3
C2,0.4148112756808389,2,C,3
C3,1.2653607262302877,3,C,3
C4,0.6369804108934514,4,C,3
C5,0.21557572861920812,5,C,3
C6,0.6470138557095062,6,C,3
C7,0.7312947921643538,7,C,3
C8,0.18920210224557668,8,C,3
C9,0.9849976110845668,9,C,3
C10,0.12355470616339911,10,C,3
C11,1.1395126612517894,11,C,3
C12,0.17085523172479444,12,C,3
D1,0.23076923076922978,1,D,4
D2,0.080554228380312,2,D,4
D3,0.19923554706163268,3,D,4
D4,0.12441471571906237,4,D,4
D5,0.8611562350692776,5,D,4
D6,0.15422838031533492,6,D,4
D7,0.2276158623984702,7,D,4
D8,0.43659818442427,8,D,4
D9,0.09746774964165858,9,D,4
D10,0.20353559483994182,10,D,4
D11,0.415384615384612,11,D,4
D12,0.671094123268035,12,D,4
E1,1.0469182990922103,1,E,5
E2,0.22589584328714804,2,E,5
E3,0.1158146201624422,3,E,5
E4,0.07682752030577644,4,E,5
E5,0.12269469660773732,5,E,5
E6,1.121165790731005,6,E,5
E7,0.06908743430482148,7,E,5
E8,0.45265169612995415,8,E,5
E9,0.7040611562350685,9,E,5
E10,0.09746774964165805,10,E,5
E11,1.8275203057811749,11,E,5
E12,0.6094601051122782,12,E,5
F1,0.5945532728141399,1,F,6
F2,1.6282847587195386,2,F,6
F3,0.9153368370759654,3,F,6
F4,0.5888198757763942,4,F,6
F5,0.751075011944577,5,F,6
F6,0.39560439560439054,6,F,6
F7,0.5595795508838958,7,F,6
F8,0.5062589584328686,8,F,6
F9,0.45150501672240456,9,F,6
F10,0.3557572861920688,10,F,6
F11,0.3391304347826087,11,F,6
F12,1.0193979933110349,12,F,6
G1,2.958146201624458,1,G,7
G2,0.4265647396082156,2,G,7
G3,1.1076923076923055,3,G,7
G4,0.40334448160534814,4,G,7
G5,0.6220735785953168,5,G,7
G6,1.3995222169135206,6,G,7
G7,0.4492116579073078,7,G,7
G8,0.9087434304825586,8,G,7
G9,0.22618251313903343,9,G,7
G10,0.1665551839464843,10,G,7
G11,0.972957477305301,11,G,7
G12,0.4818920210224529,12,G,7
H1,2.402580028666984,1,H,8
H2,0.4460582895365486,2,H,8
H3,0.9503105590062082,3,H,8
H4,0.520879120879119,4,H,8
H5,0.1258480649784959,5,H,8
H6,0.3849976110845671,6,H,8
H7,0.17572861920687746,7,H,8
H8,0.1883420926899164,8,H,8
H9,0.31963688485427605,9,H,8
H10,1.728332537028186,10,H,8
H11,0.20726230291447512,11,H,8
H12,2.0944099378881975,12,H,8
