sample,trial,cofa,DF,slope
P147,T1,NMN,11,12.93
P165,T1,NMN,1,30.73
P227,T1,NMN,5,6.52
P228,T1,NMN,6,2.78
P229,T1,NMN,2,11.59
P230,T1,NMN,5,6.82
P231,T1,NMN,1,11.86
P147,T2,NMN,11,13.01
P165,T2,NMN,1,30.04
P227,T2,NMN,5,6.60
P228,T2,NMN,6,2.72
P229,T2,NMN,2,11.36
P230,T2,NMN,5,7.12
P231,T2,NMN,1,10.86
P147,T3,no,11,-0.26
P165,T3,no,1,0.55
P227,T3,no,5,0.15
P228,T3,no,6,0.85
P229,T3,no,2,0.87
P230,T3,no,5,-0.45
P231,T3,no,1,0.28
P147,T4,NAD,57,68.15
P165,T4,NAD,5,96.02
P227,T4,NAD,26,110.88
P228,T4,NAD,31,35.71
P229,T4,NAD,10,100.56
P230,T4,NAD,24,23.28
P231,T4,NAD,3,86.98
P147,T5,NAD,57,71.34
P165,T5,NAD,5,100.19
P227,T5,NAD,26,89.8
P228,T5,NAD,31,49.14
P229,T5,NAD,10,101.52
P230,T5,NAD,24,24.2
P231,T5,NAD,3,90.89
P147,T6,NADP,57,24.74
P165,T6,NADP,5,39.79
P227,T6,NADP,26,48.91
P228,T6,NADP,31,4.3
P229,T6,NADP,10,45.14
P230,T6,NADP,24,2.04
P231,T6,NADP,3,46.5
P147,T7,NADP,57,24.18
P165,T7,NADP,5,36.6
P227,T7,NADP,26,44.64
P228,T7,NADP,31,3.22
P229,T7,NADP,10,36.9
P230,T7,NADP,24,1.73
P231,T7,NADP,3,45.69
